location_code,has_hrp,in_gho,provider_admin1_name,provider_admin2_name,admin1_code,admin1_name,admin2_code,admin2_name,admin_level,provider_admin1_code,provider_admin2_code,aggregation_period,rainfall,rainfall_long_term_average,rainfall_anomaly_pct,number_pixels,version,reference_period_start,reference_period_end
KEN,False,True,Not provided,,KE004,Tana River,,,1,51326,,3-month,181.78159,179.95457,100.987816,2683,final,2025-07-11,2025-07-20
KEN,False,True,Not provided,,KE004,Tana River,,,1,51326,,dekad,8.410361,10.917269,84.25039,2683,final,2025-07-21,2025-07-31
KEN,False,True,Not provided,,KE004,Tana River,,,1,51326,,1-month,18.531494,28.29605,70.67353,2683,final,2025-07-21,2025-07-31
KEN,False,True,Not provided,,KE004,Tana River,,,1,51326,,3-month,147.86134,160.19183,92.53566,2683,final,2025-07-21,2025-07-31
KEN,False,True,Not provided,,KE004,Tana River,,,1,51326,,dekad,8.148341,8.00938,101.06816,2683,final,2025-08-01,2025-08-10
KEN,False,True,Not provided,,KE004,Tana River,,,1,51326,,1-month,22.004845,27.755299,82.44421,2683,final,2025-08-01,2025-08-10
KEN,False,True,Not provided,,KE004,Tana River,,,1,51326,,3-month,115.64852,132.10973,87.99414,2683,final,2025-08-01,2025-08-10
KEN,False,True,Not provided,,KE004,Tana River,,,1,51326,,dekad,7.4740963,7.6217046,98.83052,2683,final,2025-08-11,2025-08-20
KEN,False,True,Not provided,,KE004,Tana River,,,1,51326,,1-month,24.032799,26.548353,92.02635,2683,final,2025-08-11,2025-08-20
KEN,False,True,Not provided,,KE004,Tana River,,,1,51326,,3-month,103.56429,112.63262,92.29097,2683,final,2025-08-11,2025-08-20
KEN,False,True,Not provided,,KE004,Tana River,,,1,51326,,dekad,8.778606,9.042502,98.12073,2683,final,2025-08-21,2025-08-31
KEN,False,True,Not provided,,KE004,Tana River,,,1,51326,,1-month,24.401043,24.673586,99.08153,2683,final,2025-08-21,2025-08-31
KEN,False,True,Not provided,,KE004,Tana River,,,1,51326,,3-month,97.47447,92.389114,105.22169,2683,final,2025-08-21,2025-08-31
KEN,False,True,Not provided,,KE004,Tana River,,,1,51326,,dekad,8.030935,7.755895,102.15617,2683,final,2025-09-01,2025-09-10
KEN,False,True,Not provided,,KE004,Tana River,,,1,51326,,1-month,24.283638,24.420101,99.536156,2683,final,2025-09-01,2025-09-10
KEN,False,True,Not provided,,KE004,Tana River,,,1,51326,,3-month,84.5725,86.79976,97.573784,2683,final,2025-09-01,2025-09-10
KEN,False,True,Not provided,,KE004,Tana River,,,1,51326,,dekad,7.8218412,8.337434,96.13425,2683,final,2025-09-11,2025-09-20
KEN,False,True,Not provided,,KE004,Tana River,,,1,51326,,1-month,24.631382,25.13583,98.32609,2683,final,2025-09-11,2025-09-20
