pcode,county,year_month,conflict_events,conflict_fatalities
KE022,Kiambu,2024-10,1,0
KE022,Kiambu,2024-11,1,0
KE022,Kiambu,2024-12,5,2
KE022,Kiambu,2025-01,1,0
KE022,Kiambu,2025-05,2,0
KE022,Kiambu,2025-06,1,0
KE022,Kiambu,2025-08,2,0
KE022,Kiambu,2025-11,1,0
KE022,Kiambu,2026-02,2,0
KE022,Kiambu,2026-03,1,0
KE022,Kiambu,2026-11,1,0
KE003,Kilifi,2009-11,1,0
KE003,Kilifi,2010-06,1,3
KE003,Kilifi,2011-11,1,0
KE003,Kilifi,2012-02,1,0
KE003,Kilifi,2012-03,2,3
KE003,Kilifi,2012-08,1,3
KE003,Kilifi,2012-09,2,2
KE003,Kilifi,2012-10,2,0
KE003,Kilifi,2013-02,5,5
KE003,Kilifi,2013-03,2,9
KE003,Kilifi,2013-05,1,0
KE003,Kilifi,2013-07,1,2
KE003,Kilifi,2013-08,1,1
KE003,Kilifi,2013-09,1,0
KE003,Kilifi,2013-10,2,1
KE003,Kilifi,2013-11,2,2
KE003,Kilifi,2013-12,1,1
KE003,Kilifi,2014-03,1,1
KE003,Kilifi,2014-06,1,1
KE003,Kilifi,2014-11,1,1
KE003,Kilifi,2016-01,1,4
KE003,Kilifi,2018-03,1,0
KE003,Kilifi,2018-04,2,0
KE003,Kilifi,2018-10,1,0
KE003,Kilifi,2018-11,1,0
KE003,Kilifi,2019-12,1,1
KE003,Kilifi,2020-02,1,1
KE003,Kilifi,2022-01,1,0
KE003,Kilifi,2022-05,1,0
KE003,Kilifi,2022-06,2,1
KE003,Kilifi,2022-12,3,1
KE003,Kilifi,2023-02,1,1
KE003,Kilifi,2023-03,1,1
KE003,Kilifi,2023-05,1,1
KE003,Kilifi,2023-07,1,0
KE003,Kilifi,2023-09,1,0
KE003,Kilifi,2024-03,1,0
KE003,Kilifi,2024-04,1,1
KE003,Kilifi,2024-05,1,1
KE003,Kilifi,2024-06,1,0
KE003,Kilifi,2024-07,2,0
KE003,Kilifi,2024-08,1,1
KE003,Kilifi,2024-09,1,1
KE003,Kilifi,2024-10,1,1
KE003,Kilifi,2025-06,1,1
KE003,Kilifi,2025-08,2,2
KE003,Kilifi,2025-09,1,1
KE003,Kilifi,2025-10,1,0
KE003,Kilifi,2025-12,1,0
KE003,Kilifi,2026-01,1,1
KE020,Kirinyaga,2007-01,1,2
KE020,Kirinyaga,2007-12,1,0
